policy,scheme,k,experiments,circuit_configs,subsets,median_tvd,q25_tvd,q75_tvd,iqr_tvd,mean_tvd,max_tvd,median_ssr,q25_ssr,q75_ssr,iqr_ssr,mean_ssr,median_parallel_ssr,mean_parallel_ssr,median_tvd_ci_low,median_tvd_ci_high,median_ssr_ci_low,median_ssr_ci_high,median_parallel_ssr_ci_low,median_parallel_ssr_ci_high
hierarchical_local_aggregate,confidence,5,72,72,1,0.018314426592433194,0.008631171448068874,0.024634753792229173,0.0160035823441603,0.016318260611922115,0.04040914022131691,0.76625,0.285,0.88125,0.59625,0.5886597222222222,0.76625,0.5886458333333334,0.014413537784503896,0.02068312072482434,0.63125,0.8337812499999998,0.63125,0.8337812499999998
hierarchical_local_aggregate,shot_proportional,1,360,72,5,0.018715845070422565,0.0,0.026849999999999992,0.026849999999999992,0.01653126160583024,0.04729042553191467,0.5462499999999999,0.0,0.7875,0.7875,0.44480555555555557,0.5462499999999999,0.44480555555555557,0.016508641130870957,0.020730518552752413,0.43500000000000005,0.6187499999999999,0.4375,0.62
hierarchical_local_aggregate,shot_proportional,2,720,72,10,0.01953095238095237,0.0,0.025816760887772187,0.025816760887772187,0.016781394262392186,0.043565775401069394,0.655,0.0,0.84,0.84,0.5064375,0.655,0.5059270833333334,0.018357147776465972,0.020463279370952832,0.6074687499999999,0.703125,0.60625,0.7025
hierarchical_local_aggregate,shot_proportional,3,720,72,10,0.018775930585510015,0.006298985252268881,0.025738013515037968,0.01943902826276909,0.01690569814889895,0.044586486486487366,0.7050000000000001,0.09874999999999998,0.86,0.76125,0.5430185185185186,0.7025,0.5427986111111112,0.017837832827772154,0.020122471463736614,0.6699999999999999,0.7537499999999999,0.6699999999999999,0.7512812499999998
hierarchical_local_aggregate,shot_proportional,4,360,72,5,0.01938614130434782,0.005718181818181792,0.025440741459627325,0.019722559641445533,0.016698116858971483,0.04338181818181993,0.74,0.201875,0.875625,0.67375,0.568814236111111,0.74,0.5687430555555556,0.01771156045751627,0.020685280856149367,0.7112499999999999,0.788125,0.7112499999999999,0.7925
hierarchical_local_aggregate,shot_proportional,5,72,72,1,0.019063840579710202,0.008871314304680761,0.02524892043751874,0.01637760613283798,0.016697541632240003,0.04236730496454024,0.76625,0.285,0.88125,0.59625,0.5886597222222222,0.76625,0.5886458333333334,0.01422062499999998,0.021197499999999987,0.63125,0.83375,0.63125,0.83375
hierarchical_local_aggregate,uniform,1,360,72,5,0.018715845070422565,0.0,0.026849999999999992,0.026849999999999992,0.01653126160583024,0.04729042553191467,0.5462499999999999,0.0,0.7875,0.7875,0.44480555555555557,0.5462499999999999,0.44480555555555557,0.0164971169630643,0.020965310576753906,0.43621875000000004,0.62,0.43500000000000005,0.62
hierarchical_local_aggregate,uniform,2,720,72,10,0.019520488721804494,0.0,0.02580322871572862,0.02580322871572862,0.016750438708011142,0.042968369453043574,0.655,0.0,0.84,0.84,0.5064375,0.655,0.5059270833333334,0.018343737558548016,0.02044258237409043,0.605,0.7050000000000001,0.6074999999999999,0.7025
hierarchical_local_aggregate,uniform,3,720,72,10,0.018775930585510015,0.006228130287648067,0.025738013515037968,0.0195098832273899,0.016891713206852992,0.044586486486487366,0.7050000000000001,0.09874999999999998,0.86,0.76125,0.5430185185185186,0.7025,0.5427986111111112,0.017837681159420256,0.020122300469483573,0.6699999999999999,0.7525312499999998,0.6699999999999999,0.75
hierarchical_local_aggregate,uniform,4,360,72,5,0.01938614130434782,0.005728251262626226,0.025440741459627325,0.0197124901970011,0.01669517568350939,0.04338181818181993,0.74,0.201875,0.875625,0.67375,0.568814236111111,0.74,0.5687430555555556,0.01769117647058824,0.020624223163841677,0.7112187499999999,0.795,0.7112499999999999,0.7887500000000001
hierarchical_local_aggregate,uniform,5,72,72,1,0.019063840579710202,0.008871314304680761,0.02524892043751874,0.01637760613283798,0.01669666704166303,0.04236730496454024,0.76625,0.285,0.88125,0.59625,0.5886597222222222,0.76625,0.5886458333333334,0.014179999999999972,0.021145246287128692,0.6174999999999999,0.83375,0.63125,0.835
local_only_offline_aggregate,confidence,1,360,72,5,0.018715845070422565,0.0,0.026849999999999995,0.026849999999999995,0.01653126160583024,0.04729042553191464,0.5462499999999999,0.0,0.7875,0.7875,0.44480555555555557,0.5462499999999999,0.44480555555555557,0.0163873431762546,0.020910896478785617,0.43500000000000005,0.6187812499999997,0.43625,0.62
local_only_offline_aggregate,confidence,2,720,72,10,0.013990850393204978,0.0,0.019337613959672272,0.019337613959672272,0.012412362905348796,0.03611685292277058,0.555625,0.0,0.79125,0.79125,0.44480555555555557,0.525,0.42694791666666665,0.012634004454916642,0.015072181046733312,0.45937500000000003,0.610015625,0.4475,0.5800000000000001
local_only_offline_aggregate,confidence,3,720,72,10,0.01190987959273964,0.0,0.016025410277215622,0.016025410277215622,0.01048068419943247,0.030783395767749883,0.5520833333333334,0.0,0.79,0.79,0.44480555555555557,0.52125,0.4192847222222222,0.010964400943720996,0.0128726013005005,0.4720729166666666,0.6174999999999999,0.43500000000000005,0.5475
local_only_offline_aggregate,confidence,4,360,72,5,0.010721489852370189,0.0,0.014043103886426107,0.014043103886426107,0.009278904653810446,0.026355957562350426,0.5549999999999999,0.0,0.7887500000000001,0.7887500000000001,0.44480555555555557,0.51875,0.4155069444444444,0.009119854552802887,0.011746534006080618,0.431875,0.6259374999999999,0.40249999999999997,0.5750000000000001
local_only_offline_aggregate,confidence,5,72,72,1,0.010177572615076602,0.0,0.012619507803974764,0.012619507803974764,0.00843322204484616,0.023074280483383506,0.5625,0.0,0.787625,0.787625,0.4448055555555555,0.5137499999999999,0.41284722222222225,0.0064466127395807595,0.01113430368378463,0.1755,0.6970000000000001,0.12749999999999995,0.65625
local_only_offline_aggregate,shot_proportional,1,360,72,5,0.018715845070422565,0.0,0.026849999999999995,0.026849999999999995,0.01653126160583024,0.04729042553191464,0.5462499999999999,0.0,0.7875,0.7875,0.44480555555555557,0.5462499999999999,0.44480555555555557,0.016493195655620733,0.02083154269972442,0.43621875000000004,0.62,0.43500000000000005,0.62
local_only_offline_aggregate,shot_proportional,2,720,72,10,0.013894040388703309,0.0,0.019361897068095837,0.019361897068095837,0.012446274888612363,0.037487546468400725,0.555625,0.0,0.79125,0.79125,0.44480555555555557,0.525,0.42694791666666665,0.012933537038261491,0.014978867296628924,0.455625,0.61,0.4475,0.5800000000000001
local_only_offline_aggregate,shot_proportional,3,720,72,10,0.01186696984311869,0.0,0.01587659801317523,0.01587659801317523,0.010495817774567167,0.030906711409396,0.5520833333333334,0.0,0.79,0.79,0.44480555555555557,0.52125,0.4192847222222222,0.010699803339181031,0.012732753952783206,0.47203124999999996,0.6174999999999999,0.43500000000000005,0.5575
local_only_offline_aggregate,shot_proportional,4,360,72,5,0.010606294454689112,0.0,0.013881901290078578,0.013881901290078578,0.009282039388807572,0.027148019801979777,0.5549999999999999,0.0,0.7887500000000001,0.7887500000000001,0.44480555555555557,0.51875,0.4155069444444444,0.009026664429530255,0.011399837654548092,0.4321796875,0.6268906249999999,0.40249999999999997,0.5800000000000001
local_only_offline_aggregate,shot_proportional,5,72,72,1,0.009974251047117865,0.0,0.012317258020916847,0.012317258020916847,0.008439764156608468,0.024009903047091365,0.5625,0.0,0.787625,0.787625,0.4448055555555555,0.5137499999999999,0.41284722222222225,0.0064380046801535565,0.011018383279054252,0.1755,0.6962687499999999,0.14125,0.63625
local_only_offline_aggregate,uniform,1,360,72,5,0.018715845070422565,0.0,0.026849999999999995,0.026849999999999995,0.01653126160583024,0.04729042553191464,0.5462499999999999,0.0,0.7875,0.7875,0.44480555555555557,0.5462499999999999,0.44480555555555557,0.016047427208048654,0.020646723730814588,0.43500000000000005,0.62,0.43500000000000005,0.6187499999999999
local_only_offline_aggregate,uniform,2,720,72,10,0.013875987914409145,0.0,0.01925103029345285,0.01925103029345285,0.01235671803739702,0.0361168737060035,0.555625,0.0,0.79125,0.79125,0.44480555555555557,0.525,0.42694791666666665,0.012904190288099315,0.015142038138832175,0.4625,0.609375,0.4475,0.5763437499999995
local_only_offline_aggregate,uniform,3,720,72,10,0.011802477097442796,0.0,0.015895704153267687,0.015895704153267687,0.010401171642953202,0.03077361539356085,0.5520833333333334,0.0,0.79,0.79,0.44480555555555557,0.52125,0.4192847222222222,0.010885962522979095,0.0127667578384957,0.4691145833333333,0.6174999999999999,0.43500000000000005,0.5525
local_only_offline_aggregate,uniform,4,360,72,5,0.01055399581244635,0.0,0.01390634281283626,0.01390634281283626,0.009194285759737283,0.026417696260749874,0.5549999999999999,0.0,0.7887500000000001,0.7887500000000001,0.44480555555555557,0.51875,0.4155069444444444,0.009111147564042547,0.011734281971663605,0.43125,0.6262656249999999,0.40249999999999997,0.5750000000000001
local_only_offline_aggregate,uniform,5,72,72,1,0.010120824838062158,0.0,0.012448339686471644,0.012448339686471644,0.00833693031347886,0.023009774877776595,0.5625,0.0,0.787625,0.787625,0.4448055555555555,0.5137499999999999,0.41284722222222225,0.006126807154562786,0.011004678956592708,0.21399999999999997,0.69625,0.12740624999999994,0.65125
